POLYGON_ID,ADM0_ISO3,ADM0_NAME,ADM0_CODE,ADM1_NAME,ADM1_CODE,ADM2_NAME,ADM2_CODE,ADM3_NAME,ADM3_CODE,CST_NAME,CST_CODE,HEX05_CODE,HEX05_X,HEX05_Y,PRIO_CODE,PRIO_COL,PRIO_ROW,PRIO_X,PRIO_Y,GEOSET,GEOSET_YEAR,GEOSET_VERSION,GEOSET_UNIT,CENTROID_LONG,CENTROID_LAT,YEAR,GHS_VERSION,GHS_POP_COUNT,GHS_POP_KM2,GHS_POP_COUNT_LI,GHS_POP_KM2_LI,GHS_POP_COUNT_MR,GHS_POP_KM2_MR
EGY_GADM2018_ADM2_16A9756,EGY,Egypt,41,"Ad Daqahliyah",16,Dikirnis,9756,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.66420443,31.0939815,1975,GHS_P2019,139610.27155262,655.1246879536,136817.88680069,642.0213527449,139610.27155262,655.1246879536
EGY_GADM2018_ADM2_16A4626,EGY,Egypt,41,"Ad Daqahliyah",16,Bilqas,4626,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.38581615,31.34971429,1975,GHS_P2019,218131.51746486,314.4031672545,213606.99566366,307.8817622006,218131.51746486,314.4031672545
EGY_GADM2018_ADM2_16A3486,EGY,Egypt,41,"Ad Daqahliyah",16,"Bani Ubayd",3486,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.66751914,31.0231545,1975,GHS_P2019,44403.963152272,444.514192627,43661.216772719,437.0787908167,44403.963152272,444.514192627
EGY_GADM2018_ADM2_16A2431,EGY,Egypt,41,"Ad Daqahliyah",16,As-Sinbillawayn,2431,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.48573497,30.87376912,1975,GHS_P2019,218491.59720655,766.3090521022,213880.32761942,750.1360840378,218491.59720655,766.3090521022
EGY_GADM2018_ADM2_16A1097,EGY,Egypt,41,"Ad Daqahliyah",16,Al-Matariyah,1097,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,32.02516732,31.19379858,1975,GHS_P2019,40996.67372179,1176.0545720177,156079.99450027,23813.711510321,40996.67372179,1176.0545720177
EGY_GADM2018_ADM2_16A1094,EGY,Egypt,41,"Ad Daqahliyah",16,Al-Manzilah,1094,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.93122028,31.15056595,1975,GHS_P2019,146844.74192032,615.5481745159,144184.03553333,604.3949460202,146844.74192032,615.5481745159
EGY_GADM2018_ADM2_16A1093,EGY,Egypt,41,"Ad Daqahliyah",16,"Al-Mansurah 2",1093,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.41288894,31.05235434,1975,GHS_P2019,66629.189768843,4702.5751183349,64605.19850757,4559.7252506402,66629.189768843,4702.5751183349
EGY_GADM2018_ADM2_16A1092,EGY,Egypt,41,"Ad Daqahliyah",16,"Al-Mansurah 1",1092,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.38777413,31.03978157,1975,GHS_P2019,86192.748211682,13842.760389932,84607.167316501,13588.112326561,86192.748211682,13842.760389932
EGY_GADM2018_ADM2_16A1091,EGY,Egypt,41,"Ad Daqahliyah",16,Al-Mansurah,1091,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.46668759,31.03273573,1975,GHS_P2019,288299.40357303,924.2799150907,282610.34701509,906.0409570871,288299.40357303,924.2799150907
EGY_GADM2018_ADM2_16A1072,EGY,Egypt,41,"Ad Daqahliyah",16,Al-Jamaliyah,1072,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.91214628,31.27031,1975,GHS_P2019,43758.000793768,195.053191228,49235.103682929,11729.063196259,43758.000793768,195.053191228
EGY_GADM2018_ADM2_16A652,EGY,Egypt,41,"Ad Daqahliyah",16,Aja,652,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.30904138,30.89572708,1975,GHS_P2019,203905.39838578,796.1538898642,199914.86491907,780.5727491024,203905.39838578,796.1538898642
EGY_GADM2018_ADM2_16A12176,EGY,Egypt,41,"Ad Daqahliyah",16,Gamsa,12176,,,,,,,,,,,,,GADM,2018,GADM_v36,ADM2,31.55102853,31.44021287,1976,GHS_P2019,,,1258.1633207908,614.8702742025,1226.9663119918,599.6241503273
